Pre-Sim Data
,regions,english,spanish,french,chinese
0,USA,0.702,0.123,0.003,0.01
1,CAN,0.9,0.008,0.321,0.091
2,MEX,0.086,0.983,0.0,0.0
3,OTH,0.162,0.076,0.042,0.159

Post-Sim Data
,regions,english,spanish,french,chinese
0,USA,0.6523044415986323,0.1315557350381008,0.01855842892470166,0.025430926464479985
1,CAN,0.6997360030890935,0.10394084075280341,0.07033120189436451,0.03662836837405362
2,MEX,0.15422466706322419,0.8761927275363969,0.003160179869230153,0.004134393281331939
3,OTH,0.16332768403831463,0.07612580945466069,0.04195407489118007,0.15864864226935826

